
2024/06/26 (10:32:14) | ===> btop++ v.1.3.2
2024/06/26 (10:32:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/23 (15:59:20) | ===> btop++ v.1.3.2
2024/07/23 (15:59:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/23 (15:59:45) | ===> btop++ v.1.3.2
2024/07/23 (15:59:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/25 (11:38:50) | ===> btop++ v.1.3.2
2024/07/25 (11:38:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/25 (11:41:19) | ===> btop++ v.1.3.2
2024/07/25 (11:41:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/25 (11:51:05) | ===> btop++ v.1.3.2
2024/07/25 (11:51:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/01 (09:58:03) | ===> btop++ v.1.3.2
2024/08/01 (09:58:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/02 (21:40:13) | ===> btop++ v.1.3.2
2024/12/02 (21:40:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/04 (09:28:54) | ===> btop++ v.1.3.2
2025/03/04 (09:28:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/05 (11:59:32) | ===> btop++ v.1.3.2
2025/03/05 (11:59:32) | WARNING: Failed to set locale UTF-8 continuing anyway.
